n,q,Delta,risk,B,power,mc_lo,mc_hi,unresolved_frac,mean_n_k,p5_n_k,p95_n_k,theorem_sufficient_nq,nq,above_sufficient
2500,0.02,0.05,0.2,5000,0.1968,0.18601419587126383,0.2080513556841651,0.0,49.7382,38.0,62.0,599.146454710798,50.0,False
2500,0.02,0.08,0.22999999999999998,5000,0.3846,0.3712083735605417,0.398168818555212,0.0,49.8498,39.0,62.0,234.04158387140552,50.0,False
2500,0.02,0.1,0.25,5000,0.5212,0.5073422014206586,0.535025246821508,0.0,50.0794,39.0,62.0,149.7866136776995,50.0,False
2500,0.02,0.15,0.3,5000,0.7916,0.7801199258828418,0.802632333900921,0.0,50.0626,39.0,62.0,66.5718283011998,50.0,False
2500,0.02,0.0,0.15,5000,0.037,0.032113193925819086,0.04259772418158064,0.0,50.1014,39.0,62.0,,50.0,
2500,0.02,-0.02,0.13,5000,0.0116,0.008984481447483776,0.014965437350905044,0.0,49.982,39.0,61.05000000000018,,50.0,
2500,0.05,0.01,0.16,5000,0.0828,0.0754778359842509,0.09076275804254644,0.0,124.9972,108.0,143.0,14978.661367769953,125.0,False
2500,0.05,0.02,0.16999999999999998,5000,0.1284,0.1194116317308093,0.13795894530744063,0.0,125.0236,107.95000000000002,143.0,3744.6653419424883,125.0,False
2500,0.05,0.05,0.2,5000,0.414,0.4004183597325347,0.42771368985112923,0.0,125.0226,108.0,143.0,599.146454710798,125.0,False
2500,0.05,0.08,0.22999999999999998,5000,0.7126,0.6998964964952932,0.7249770646502076,0.0,125.0844,108.0,143.0,234.04158387140552,125.0,False
2500,0.05,0.1,0.25,5000,0.869,0.859363746244569,0.8780696689138964,0.0,124.942,107.0,143.0,149.7866136776995,125.0,False
2500,0.05,0.15,0.3,5000,0.9902,0.9870683628167681,0.9925789545563478,0.0,125.0976,107.95000000000002,143.0,66.5718283011998,125.0,True
2500,0.05,0.0,0.15,5000,0.0392,0.034164850879234925,0.044942689215559446,0.0,125.0196,107.0,143.0,,125.0,
2500,0.05,-0.02,0.13,5000,0.007,0.005037604888092059,0.009719377027562506,0.0,125.1144,107.0,143.0,,125.0,
2500,0.1,0.01,0.16,5000,0.1072,0.09892432825050786,0.11607880054557555,0.0,249.6872,225.0,274.0,14978.661367769953,250.0,False
2500,0.1,0.02,0.16999999999999998,5000,0.1936,0.1828847701315025,0.20478569489680692,0.0,249.6742,226.0,274.0,3744.6653419424883,250.0,False
2500,0.1,0.05,0.2,5000,0.6508,0.6374748635827671,0.6638935890077388,0.0,249.9672,225.0,275.0,599.146454710798,250.0,False
2500,0.1,0.08,0.22999999999999998,5000,0.9378,0.9307634727631346,0.9441643027283997,0.0,250.2718,226.0,275.0,234.04158387140552,250.0,True
2500,0.1,0.1,0.25,5000,0.99,0.9868413590706434,0.9924062653945275,0.0,250.0418,226.0,274.0,149.7866136776995,250.0,True
2500,0.1,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,249.887,225.0,275.0,66.5718283011998,250.0,True
2500,0.1,0.0,0.15,5000,0.0422,0.0369698419843103,0.048133091729658586,0.0,250.3032,226.0,275.0,,250.0,
2500,0.1,-0.02,0.13,5000,0.0032,0.001970710595456084,0.005192106069244095,0.0,250.0218,225.0,275.0,,250.0,
2500,0.2,0.01,0.16,5000,0.147,0.13745571987792823,0.15708629759920376,0.0,499.9076,468.0,533.0,14978.661367769953,500.0,False
2500,0.2,0.02,0.16999999999999998,5000,0.3264,0.31354046282349224,0.3395260930802759,0.0,500.1062,468.0,533.0,3744.6653419424883,500.0,False
2500,0.2,0.05,0.2,5000,0.8992,0.890546037657191,0.9072410066009646,0.0,499.9554,467.0,533.0,599.146454710798,500.0,False
2500,0.2,0.08,0.22999999999999998,5000,0.9972,0.995305230694804,0.9983313384563857,0.0,499.8432,468.0,532.0,234.04158387140552,500.0,True
2500,0.2,0.1,0.25,5000,1.0,0.9992322698624194,1.0,0.0,499.6508,467.0,533.0,149.7866136776995,500.0,True
2500,0.2,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,499.7942,467.95000000000005,533.0,66.5718283011998,500.0,True
2500,0.2,0.0,0.15,5000,0.0454,0.03997022636788222,0.05152779387320616,0.0,499.947,467.0,533.0,,500.0,
2500,0.2,-0.02,0.13,5000,0.0018,0.0009472826989451401,0.0034176836101402633,0.0,500.1436,468.0,534.0,,500.0,
2500,0.4,0.01,0.16,5000,0.2172,0.20598996175724776,0.22884426640856792,0.0,1000.2796,960.0,1041.0,14978.661367769953,1000.0,False
2500,0.4,0.02,0.16999999999999998,5000,0.5096,0.4957412098379929,0.5234440497433658,0.0,999.633,960.0,1040.0,3744.6653419424883,1000.0,False
2500,0.4,0.05,0.2,5000,0.9936,0.9909792564944511,0.9954628403137293,0.0,1000.4784,962.0,1041.0,599.146454710798,1000.0,True
2500,0.4,0.08,0.22999999999999998,5000,1.0,0.9992322698624194,1.0,0.0,1000.4656,961.0,1041.0,234.04158387140552,1000.0,True
2500,0.4,0.1,0.25,5000,1.0,0.9992322698624194,1.0,0.0,1000.44,961.0,1039.0,149.7866136776995,1000.0,True
2500,0.4,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,1000.3832,960.0,1039.0,66.5718283011998,1000.0,True
2500,0.4,0.0,0.15,5000,0.0436,0.038281495819987015,0.04961928824959665,0.0,998.7208,959.0,1039.0,,1000.0,
2500,0.4,-0.02,0.13,5000,0.0004,0.0001096989857531115,0.001457416967717518,0.0,999.7298,958.0,1039.0,,1000.0,
5000,0.02,0.01,0.16,5000,0.0672,0.06058713684977665,0.0744774103573132,0.0,100.033,84.0,116.0,14978.661367769953,100.0,False
5000,0.02,0.02,0.16999999999999998,5000,0.1146,0.10606487544402624,0.12372689094602096,0.0,99.5474,84.0,116.0,3744.6653419424883,100.0,False
5000,0.02,0.05,0.2,5000,0.3432,0.33016471862966773,0.35647604154147766,0.0,99.7956,84.0,116.0,599.146454710798,100.0,False
5000,0.02,0.08,0.22999999999999998,5000,0.6256,0.6120934793873646,0.6389136668020753,0.0,99.951,84.0,116.0,234.04158387140552,100.0,False
5000,0.02,0.1,0.25,5000,0.7878,0.77624806505934,0.7989100294734686,0.0,100.2898,84.0,117.0,149.7866136776995,100.0,False
5000,0.02,0.15,0.3,5000,0.9658,0.9603939968236589,0.9704907857801709,0.0,100.2944,84.0,117.0,66.5718283011998,100.0,True
5000,0.02,0.0,0.15,5000,0.0386,0.03360484048720849,0.04430362088375099,0.0,99.8874,84.0,116.0,,100.0,
5000,0.02,-0.02,0.13,5000,0.0076,0.005542191270153625,0.010413869369335844,0.0,100.0366,84.0,116.0,,100.0,
5000,0.05,0.01,0.16,5000,0.099,0.09102682493502068,0.10758889463531904,0.0,249.9622,225.0,276.0,14978.661367769953,250.0,False
5000,0.05,0.02,0.16999999999999998,5000,0.1966,0.18581857352588824,0.20784728512159575,0.0,250.4344,225.0,276.0,3744.6653419424883,250.0,False
5000,0.05,0.05,0.2,5000,0.6568,0.6435239584585224,0.6698352813703323,0.0,249.736,225.0,275.0,599.146454710798,250.0,False
5000,0.05,0.08,0.22999999999999998,5000,0.9406,0.9337036314404533,0.9468198447623105,0.0,250.1236,225.0,276.0,234.04158387140552,250.0,True
5000,0.05,0.1,0.25,5000,0.988,0.984585187686808,0.9906655076989132,0.0,250.3812,226.0,276.0,149.7866136776995,250.0,True
5000,0.05,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,250.0066,225.0,275.0,66.5718283011998,250.0,True
5000,0.05,0.0,0.15,5000,0.0406,0.03547284651761458,0.04643254393279457,0.0,250.3276,225.0,275.0500000000002,,250.0,
5000,0.05,-0.02,0.13,5000,0.0034,0.0021239187553747756,0.00543859081727037,0.0,249.982,225.0,276.0,,250.0,
5000,0.1,0.01,0.16,5000,0.1368,0.12755330819471222,0.1466043709772264,0.0,500.4034,467.0,534.0,14978.661367769953,500.0,False
5000,0.1,0.02,0.16999999999999998,5000,0.3048,0.29219438599834086,0.31770533584737076,0.0,499.8768,465.0,535.0,3744.6653419424883,500.0,False
5000,0.1,0.05,0.2,5000,0.894,0.8851626050503061,0.9022324236012804,0.0,500.1618,467.0,535.0,599.146454710798,500.0,False
5000,0.1,0.08,0.22999999999999998,5000,0.9974,0.9955563744107833,0.9984798876483515,0.0,499.4936,465.95000000000005,534.0500000000002,234.04158387140552,500.0,True
5000,0.1,0.1,0.25,5000,0.9996,0.9985425830322826,0.9998903010142469,0.0,500.3052,466.0,535.0,149.7866136776995,500.0,True
5000,0.1,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,499.9694,466.0,535.0,66.5718283011998,500.0,True
5000,0.1,0.0,0.15,5000,0.044,0.0386565482585373,0.05004362162693629,0.0,499.829,465.0,535.0,,500.0,
5000,0.1,-0.02,0.13,5000,0.0006,0.00020407096088550332,0.001762737900530094,0.0,499.4996,465.0,534.0,,500.0,
5000,0.2,0.01,0.16,5000,0.2124,0.2012859220231792,0.22395567635195723,0.0,999.694,953.0,1046.0,14978.661367769953,1000.0,False
5000,0.2,0.02,0.16999999999999998,5000,0.5206,0.506741967069943,0.5344264024483886,0.0,1000.041,954.0,1047.0,3744.6653419424883,1000.0,False
5000,0.2,0.05,0.2,5000,0.9954,0.9931065624565739,0.9969327705231111,0.0,1000.2646,953.0,1046.0,599.146454710798,1000.0,True
5000,0.2,0.08,0.22999999999999998,5000,1.0,0.9992322698624194,1.0,0.0,1000.0596,954.0,1046.0,234.04158387140552,1000.0,True
5000,0.2,0.1,0.25,5000,1.0,0.9992322698624194,1.0,0.0,999.8718,953.0,1047.0500000000002,149.7866136776995,1000.0,True
5000,0.2,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,1000.5132,954.95,1048.0,66.5718283011998,1000.0,True
5000,0.2,0.0,0.15,5000,0.0438,0.03846900597988862,0.04983147099764001,0.0,999.975,954.0,1047.0,,1000.0,
5000,0.2,-0.02,0.13,5000,0.0,0.0,0.000767730137580694,0.0,999.6172,953.0,1046.0,,1000.0,
5000,0.4,0.01,0.16,5000,0.34,0.3269967661320483,0.3532489075119777,0.0,2000.2618,1944.0,2060.0,14978.661367769953,2000.0,False
5000,0.4,0.02,0.16999999999999998,5000,0.779,0.7672872149875823,0.7902843915956478,0.0,2000.4962,1943.0,2059.0,3744.6653419424883,2000.0,False
5000,0.4,0.05,0.2,5000,1.0,0.9992322698624194,1.0,0.0,2000.2326,1943.0,2058.0,599.146454710798,2000.0,True
5000,0.4,0.08,0.22999999999999998,5000,1.0,0.9992322698624194,1.0,0.0,2000.0088,1943.0,2058.0,234.04158387140552,2000.0,True
5000,0.4,0.1,0.25,5000,1.0,0.9992322698624194,1.0,0.0,2000.4682,1943.0,2057.0,149.7866136776995,2000.0,True
5000,0.4,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,2000.7538,1944.0,2057.0,66.5718283011998,2000.0,True
5000,0.4,0.0,0.15,5000,0.0438,0.03846900597988862,0.04983147099764001,0.0,2000.2668,1943.0,2059.0,,2000.0,
5000,0.4,-0.02,0.13,5000,0.0,0.0,0.000767730137580694,0.0,2000.4992,1942.0,2058.0,,2000.0,
10000,0.02,0.01,0.16,5000,0.0934,0.08564332407634079,0.10178099407153982,0.0,199.7616,177.0,223.0,14978.661367769953,200.0,False
10000,0.02,0.02,0.16999999999999998,5000,0.1688,0.15867245017652404,0.17943609426660945,0.0,200.1482,178.0,224.0,3744.6653419424883,200.0,False
10000,0.02,0.05,0.2,5000,0.5518,0.5379807500317275,0.5655397131260191,0.0,199.9782,177.0,223.0,599.146454710798,200.0,False
10000,0.02,0.08,0.22999999999999998,5000,0.8862,0.8770993469390542,0.8947076583026785,0.0,199.768,177.0,224.0,234.04158387140552,200.0,False
10000,0.02,0.1,0.25,5000,0.9658,0.9603939968236589,0.9704907857801709,0.0,200.1478,177.0,224.0,149.7866136776995,200.0,True
10000,0.02,0.15,0.3,5000,0.9996,0.9985425830322826,0.9998903010142469,0.0,200.099,177.0,224.0,66.5718283011998,200.0,True
10000,0.02,0.0,0.15,5000,0.0402,0.035098950653111326,0.046007053981407885,0.0,200.1176,178.0,223.0,,200.0,
10000,0.02,-0.02,0.13,5000,0.0038,0.002434119240930543,0.005927776147604539,0.0,200.1398,178.0,223.0,,200.0,
10000,0.05,0.01,0.16,5000,0.1512,0.14153797618008465,0.16139759236389165,0.0,500.2728,464.0,536.0,14978.661367769953,500.0,False
10000,0.05,0.02,0.16999999999999998,5000,0.3316,0.3186840748319496,0.34477449667838767,0.0,499.6766,464.0,535.0500000000002,3744.6653419424883,500.0,False
10000,0.05,0.05,0.2,5000,0.8948,0.8859903979312685,0.903003402352098,0.0,499.9112,464.0,536.0,599.146454710798,500.0,False
10000,0.05,0.08,0.22999999999999998,5000,0.9966,0.9945614091827297,0.9978760812446252,0.0,499.975,465.0,537.0,234.04158387140552,500.0,True
10000,0.05,0.1,0.25,5000,1.0,0.9992322698624194,1.0,0.0,500.1264,464.0,535.0,149.7866136776995,500.0,True
10000,0.05,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,499.7002,464.0,536.0,66.5718283011998,500.0,True
10000,0.05,0.0,0.15,5000,0.0428,0.03753178060686818,0.04877023183093561,0.0,500.182,464.0,536.0,,500.0,
10000,0.05,-0.02,0.13,5000,0.0016,0.0008109653833484613,0.0031543080177919747,0.0,499.9562,465.0,536.0,,500.0,
10000,0.1,0.01,0.16,5000,0.2204,0.20912725476367128,0.23210205992926392,0.0,1000.41,951.0,1050.0,14978.661367769953,1000.0,False
10000,0.1,0.02,0.16999999999999998,5000,0.5192,0.5053414979669273,0.5330290211957895,0.0,1000.5156,951.0,1051.0,3744.6653419424883,1000.0,False
10000,0.1,0.05,0.2,5000,0.9934,0.9907458855884145,0.9952965183118209,0.0,999.494,951.0,1049.0,599.146454710798,1000.0,True
10000,0.1,0.08,0.22999999999999998,5000,1.0,0.9992322698624194,1.0,0.0,999.4998,950.0,1049.0,234.04158387140552,1000.0,True
10000,0.1,0.1,0.25,5000,1.0,0.9992322698624194,1.0,0.0,1000.8262,953.0,1049.0,149.7866136776995,1000.0,True
10000,0.1,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,1000.4342,953.0,1049.0,66.5718283011998,1000.0,True
10000,0.1,0.0,0.15,5000,0.046,0.040533692983861225,0.05216340598106205,0.0,1000.4076,951.0,1051.0,,1000.0,
10000,0.1,-0.02,0.13,5000,0.0,0.0,0.000767730137580694,0.0,1000.3196,951.0,1051.0,,1000.0,
10000,0.2,0.01,0.16,5000,0.3374,0.3244232954227745,0.35062637041796685,0.0,1999.604,1934.0,2065.0,14978.661367769953,2000.0,False
10000,0.2,0.02,0.16999999999999998,5000,0.7802,0.7685087001211303,0.7914610639097696,0.0,1999.977,1933.0,2065.0,3744.6653419424883,2000.0,False
10000,0.2,0.05,0.2,5000,1.0,0.9992322698624194,1.0,0.0,1999.9538,1933.0,2064.0,599.146454710798,2000.0,True
10000,0.2,0.08,0.22999999999999998,5000,1.0,0.9992322698624194,1.0,0.0,2000.9216,1935.0,2068.0,234.04158387140552,2000.0,True
10000,0.2,0.1,0.25,5000,1.0,0.9992322698624194,1.0,0.0,2000.1872,1934.95,2066.0,149.7866136776995,2000.0,True
10000,0.2,0.15,0.3,5000,1.0,0.9992322698624194,1.0,0.0,2000.8594,1936.0,2067.0,66.5718283011998,2000.0,True
10000,0.2,0.0,0.15,5000,0.05,0.044296797964307966,0.05639415915951468,0.0,1998.7476,1935.0,2064.0,,2000.0,
10000,0.2,-0.02,0.13,5000,0.0,0.0,0.000767730137580694,0.0,2000.3946,1936.0,2068.0,,2000.0,
10000,0.4,0.01,0.16,5000,0.544,0.5301659535741342,0.5577664861737587,0.0,4000.2356,3923.0,4079.0,14978.661367769953,4000.0,False
10000,0.4,0.02,0.16999999999999998,5000,0.9646,0.9591107903825019,0.9693758347736582,0.0,3999.5084,3918.0,4081.0,3744.6653419424883,4000.0,True
10000,0.4,0.05,0.2,5000,1.0,0.9992322698624194,1.0,0.0,3999.66,3921.0,4079.05,599.146454710798,4000.0,True
